date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:21:21	111025/111025	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202024%2004:30:42%20GMT	https://crowdytheme.com/wp/arolax/creative-portfolio/full-width-slicer-slider/	D:/slider/Carouseltrantor/crowdytheme.com/wp/arolax/creative-portfolio/full-width-slicer-slider/index.html	(from )
12:21:21	111/111	---M-Z	200	added ('OK')	text/plain	date:Thu,%2012%20Sep%202024%2006:51:20%20GMT	https://crowdytheme.com/robots.txt		(from )
12:21:21	5466/5466	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Sep%202024%2012:00:09%20GMT	https://crowdytheme.com/wp/arolax/creative-portfolio/wp-content/cache/min/26/wp/arolax/creative-portfolio/wp-content/plugins/animation-addons-for-elementor/assets/css/wcf-addons.css?ver=1725451209	D:/slider/Carouseltrantor/crowdytheme.com/wp/arolax/creative-portfolio/wp-content/cache/min/26/wp/arolax/creative-portfolio/wp-content/plugins/animation-addons-for-elementor/assets/css/wcf-addons7b52.css	(from https://crowdytheme.com/wp/arolax/creative-portfolio/full-width-slicer-slider/)
12:21:21	5061/5061	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Sep%202024%2012:00:09%20GMT	https://crowdytheme.com/wp/arolax/creative-portfolio/wp-content/cache/min/26/wp/arolax/creative-portfolio/wp-content/plugins/extension-for-animation-addons/assets/css/magnific-popup.css?ver=1725451209	D:/slider/Carouseltrantor/crowdytheme.com/wp/arolax/creative-portfolio/wp-content/cache/min/26/wp/arolax/creative-portfolio/wp-content/plugins/extension-for-animation-addons/assets/css/magnific-popup7b52.css	(from https://crowdytheme.com/wp/arolax/creative-portfolio/full-width-slicer-slider/)
12:21:22	5157/5157	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Sep%202024%2012:00:09%20GMT	https://crowdytheme.com/wp/arolax/creative-portfolio/wp-content/cache/min/26/wp/arolax/creative-portfolio/wp-content/plugins/extension-for-animation-addons/assets/css/wcf-addons-ex.css?ver=1725451209	D:/slider/Carouseltrantor/crowdytheme.com/wp/arolax/creative-portfolio/wp-content/cache/min/26/wp/arolax/creative-portfolio/wp-content/plugins/extension-for-animation-addons/assets/css/wcf-addons-ex7b52.css	(from https://crowdytheme.com/wp/arolax/creative-portfolio/full-width-slicer-slider/)
12:21:22	25260/25260	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Sep%202024%2012:00:09%20GMT	https://crowdytheme.com/wp/arolax/creative-portfolio/wp-content/cache/min/26/wp/arolax/creative-portfolio/wp-content/plugins/wcf-addons-pro/assets/css/wcf-addons-pro.css?ver=1725451209	D:/slider/Carouseltrantor/crowdytheme.com/wp/arolax/creative-portfolio/wp-content/cache/min/26/wp/arolax/creative-portfolio/wp-content/plugins/wcf-addons-pro/assets/css/wcf-addons-pro7b52.css	(from https://crowdytheme.com/wp/arolax/creative-portfolio/full-width-slicer-slider/)
12:21:22	2621/2621	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Aug%202024%2011:40:03%20GMT	https://crowdytheme.com/wp/arolax/creative-portfolio/wp-content/themes/arolax/assets/css/meanmenu.min.css?ver=2	D:/slider/Carouseltrantor/crowdytheme.com/wp/arolax/creative-portfolio/wp-content/themes/arolax/assets/css/meanmenu.min77ae.css	(from https://crowdytheme.com/wp/arolax/creative-portfolio/full-width-slicer-slider/)
12:21:23	36475/36475	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Aug%202024%2011:40:03%20GMT	https://crowdytheme.com/wp/arolax/creative-portfolio/wp-content/themes/arolax/assets/css/bootstrap.min.css?ver=2	D:/slider/Carouseltrantor/crowdytheme.com/wp/arolax/creative-portfolio/wp-content/themes/arolax/assets/css/bootstrap.min77ae.css	(from https://crowdytheme.com/wp/arolax/creative-portfolio/full-width-slicer-slider/)
12:21:23	83427/83427	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Sep%202024%2012:00:09%20GMT	https://crowdytheme.com/wp/arolax/creative-portfolio/wp-content/cache/min/26/wp/arolax/creative-portfolio/wp-content/themes/arolax/assets/css/master.css?ver=1725451209	D:/slider/Carouseltrantor/crowdytheme.com/wp/arolax/creative-portfolio/wp-content/cache/min/26/wp/arolax/creative-portfolio/wp-content/themes/arolax/assets/css/master7b52.css	(from https://crowdytheme.com/wp/arolax/creative-portfolio/full-width-slicer-slider/)
12:21:24	5603/5603	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Sep%202024%2012:00:09%20GMT	https://crowdytheme.com/wp/arolax/creative-portfolio/wp-content/cache/min/26/wp/arolax/creative-portfolio/wp-content/themes/arolax/assets/css/custom-icons.min.css?ver=1725451209	D:/slider/Carouseltrantor/crowdytheme.com/wp/arolax/creative-portfolio/wp-content/cache/min/26/wp/arolax/creative-portfolio/wp-content/themes/arolax/assets/css/custom-icons.min7b52.css	(from https://crowdytheme.com/wp/arolax/creative-portfolio/full-width-slicer-slider/)
